,Unnamed: 0,Rubrik,Eintrag,Miete,Größe,Stadtteil,frei ab,frei bis,Unnamed: 8,Lease term,EUR / SQM,Neighbourhood,frei bis (Year - Month),Latitude,Longitude
0,,,05.04.2023,760.0,30.0,Wohnungen von HousingAnywhere*,2023-04-06,,,,25.333333333333332,NA,,-23.2335499,17.3231107
1,,,05.04.2023,730.0,45.0,Wohnungen von Spotahome*,2023-04-06,,,,16.22222222222222,NA,,-23.2335499,17.3231107
2,,2.0,04.04.2023,1500.0,48.0,Berlin  Berlin,2023-04-01,,,,31.25,NA,,-23.2335499,17.3231107
3,,,04.04.2023,1200.0,35.0,Berlin  Prenzlauer Berg,2023-05-01,2023-06-30,,1.0,34.285714285714285,Prenzlauer Berg,2023-06,52.5398466,13.4285652
4,,2.0,04.04.2023,1199.0,47.0,Berlin,2023-04-05,2024-04-01,,12.0,25.51063829787234,NA,2024-04,-23.2335499,17.3231107
5,,,04.04.2023,600.0,45.0,Berlin  Marzahn,2023-04-01,2023-08-31,,4.0,13.333333333333334,NA,2023-08,-23.2335499,17.3231107
6,,,04.04.2023,400.0,28.0,Berlin  Wedding,2023-04-13,2023-04-30,,0.0,14.285714285714286,Wedding,2023-04,52.550123,13.34197
7,,25.0,04.04.2023,800.0,63.0,Berlin  Neukölln,2023-04-15,2023-05-05,,1.0,12.698412698412698,Neukölln,2023-05,52.4811497,13.4353501
8,,2.0,04.04.2023,933.0,67.0,Berlin  Hellersdorf,2023-06-01,,,,13.925373134328359,NA,,-23.2335499,17.3231107
9,,,04.04.2023,590.0,32.0,Berlin  Lichtenberg,2023-04-14,2023-08-31,,4.0,18.4375,Lichtenberg,2023-08,48.9212959,7.4812268
10,,2.0,04.04.2023,1690.0,60.0,Berlin  Friedrichshain-Kreuzberg,2023-05-01,2023-07-30,,2.0,28.166666666666668,Friedrichshain,2023-07,52.5122154,13.4502904
11,,2.0,04.04.2023,1800.0,55.0,Berlin  Neukölln,2023-04-21,2023-07-12,,3.0,32.72727272727273,Neukölln,2023-07,52.4811497,13.4353501
12,,2.0,04.04.2023,850.0,40.0,Berlin  Weißensee,2023-04-25,2023-06-09,,2.0,21.25,Weißensee,2023-06,52.5546193,13.4630018
13,,,04.04.2023,800.0,30.0,Berlin  Schöneberg,2023-05-01,,,,26.666666666666668,NA,,-23.2335499,17.3231107
14,,2.0,04.04.2023,1500.0,83.0,Berlin  Neukölln,2023-08-01,2023-11-01,,3.0,18.072289156626507,Neukölln,2023-11,52.4811497,13.4353501
15,,2.0,04.04.2023,1500.0,80.0,Berlin  Wedding,2023-04-17,2023-06-17,,2.0,18.75,Wedding,2023-06,52.550123,13.34197
16,,2.0,04.04.2023,860.0,62.0,Berlin  Hermsdorf,2023-04-15,,,,13.870967741935484,Hermsdorf,,50.897952,11.8567132
17,,,04.04.2023,650.0,24.0,Berlin  Kreuzberg,2023-04-07,2023-06-07,,2.0,27.083333333333332,Kreuzberg,2023-06,52.4976443,13.411914
18,,2.0,04.04.2023,750.0,51.0,Berlin  Charlottenburg,2023-04-15,,,,14.705882352941176,Charlottenburg,,52.515747,13.3096834
19,,,04.04.2023,700.0,38.0,Berlin  Britz,2023-05-01,,,,18.42105263157895,NA,,-23.2335499,17.3231107
20,,3.0,04.04.2023,1800.0,87.0,Berlin  Gesundbrunnen,2023-06-12,2023-08-20,,2.0,20.689655172413794,NA,2023-08,-23.2335499,17.3231107
21,,2.0,04.04.2023,300.0,50.0,Berlin  Neukölln,2023-04-11,2023-04-21,,0.0,6.0,Neukölln,2023-04,52.4811497,13.4353501
22,,,,,,,,,,,,NA,,-23.2335499,17.3231107
23,,,05.04.2023,840.0,40.0,Wohnungen von HousingAnywhere*,2023-04-06,,,,21.0,NA,,-23.2335499,17.3231107
24,,,05.04.2023,830.0,45.0,Wohnungen von Spotahome*,2023-04-06,,,,18.444444444444443,NA,,-23.2335499,17.3231107
25,,3.0,04.04.2023,1000.0,73.0,Berlin  Prenzlauer Berg,2023-04-14,2023-05-11,,1.0,13.698630136986301,Prenzlauer Berg,2023-05,52.5398466,13.4285652
26,,,04.04.2023,700.0,40.0,Berlin,2023-04-28,,,,17.5,NA,,-23.2335499,17.3231107
27,,2.0,04.04.2023,300.0,65.0,Berlin  Mariendorf,2023-04-17,2023-04-23,,0.0,4.615384615384615,NA,2023-04,-23.2335499,17.3231107
28,,3.0,04.04.2023,1400.0,102.0,Berlin  Lichtenberg,2023-05-01,2023-06-01,,1.0,13.72549019607843,Lichtenberg,2023-06,48.9212959,7.4812268
29,,2.0,04.04.2023,800.0,54.0,Berlin,2023-05-06,2023-05-26,,0.0,14.814814814814815,NA,2023-05,-23.2335499,17.3231107
30,,2.0,04.04.2023,300.0,55.0,Berlin  Neu-Hohenschönhausen,2023-04-10,2023-04-19,,0.0,5.454545454545454,NA,2023-04,-23.2335499,17.3231107
31,,,04.04.2023,600.0,49.0,Berlin  Mitte,2023-04-10,,,,12.244897959183673,Mitte,,52.5178855,13.4040601
32,,35.0,04.04.2023,2400.0,75.0,Berlin  Weißensee,2023-04-06,2023-09-30,,5.0,32.0,Weißensee,2023-09,52.5546193,13.4630018
33,,2.0,04.04.2023,1500.0,80.0,Berlin  ostkreuz,2023-04-05,2023-04-30,,0.0,18.75,NA,2023-04,-23.2335499,17.3231107
34,,25.0,04.04.2023,1500.0,80.0,Berlin  Neukölln,2023-05-12,2023-06-20,,1.0,18.75,Neukölln,2023-06,52.4811497,13.4353501
35,,,04.04.2023,650.0,40.0,Berlin  Kreuzberg,2023-05-01,,,,16.25,Kreuzberg,,52.4976443,13.411914
36,,2.0,04.04.2023,2190.0,68.0,Berlin,2023-05-02,2024-04-30,,11.0,32.205882352941174,NA,2024-04,-23.2335499,17.3231107
37,,,04.04.2023,760.0,41.0,Berlin  Charlottenburg,2023-06-11,2023-06-30,,0.0,18.536585365853657,Charlottenburg,2023-06,52.515747,13.3096834
